,,,,1f1f,21oo,3zwv,7144,fkih,j2nn,mjlk,ofjk,orar,rbzz,toba
99,140,0.75,0.3,0,0,0,0,0,0,0,0,0,0,0
99,140,0.75,0.35,0,0,0,0,0,0,0,0,0,0,0
99,140,0.75,0.4,0,0,0,0,0,0,0,0,0,0,0
99,140,0.75,0.45,0,0,0,0,0,0,0,0,0,0,0
99,140,0.75,0.5,0,0,0,0,0,0,0,0,0,0,0
99,140,0.75,0.55,0,0,0,0,0,0,0,0,0,0,0
99,140,0.75,0.6,0,0,0,0,0,0,0,0,0,0,0
99,140,0.75,0.65,0,0,0,0,0,0,0,0,0,0,0
99,140,0.75,0.7,0,0,0,0,0,0,0,0,0,0,0
99,140,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0
99,140,0.75,0.8,0,0,0,0,0,0,0,0,0,0,0
99,140,0.85,0.3,0,0,0,0,0,0,0,0,0,0,0
99,140,0.85,0.35,0,0,0,0,0,0,0,0,0,0,0
99,140,0.85,0.4,0,0,0,0,0,0,0,0,0,0,0
99,140,0.85,0.45,0,0,0,0,0,0,0,0,0,0,0
99,140,0.85,0.5,0,0,0,0,0,0,0,0,0,0,0
99,140,0.85,0.55,0,0,0,0,0,0,0,0,0,0,0
99,140,0.85,0.6,0,0,0,0,0,0,0,0,0,0,0
99,140,0.85,0.65,0,0,0,0,0,0,0,0,0,0,0
99,140,0.85,0.7,0,0,0,0,0,0,0,0,0,0,0
99,140,0.85,0.75,0,0,0,0,0,0,0,0,0,0,0
99,140,0.85,0.8,0,0,0,0,0,0,0,0,0,0,0
99,140,0.95,0.3,0,0,0,0,0,0,0,0,0,0,0
99,140,0.95,0.35,0,0,0,0,0,0,0,0,0,0,0
99,140,0.95,0.4,0,0,0,0,0,0,0,0,0,0,0
99,140,0.95,0.45,0,0,0,0,0,0,0,0,0,0,0
99,140,0.95,0.5,0,0,0,0,0,0,0,0,0,0,0
99,140,0.95,0.55,0,0,0,0,0,0,0,0,0,0,0
99,140,0.95,0.6,0,0,0,0,0,0,0,0,0,0,0
99,140,0.95,0.65,0,0,0,0,0,0,0,0,0,0,0
99,140,0.95,0.7,0,0,0,0,0,0,0,0,0,0,0
99,140,0.95,0.75,0,0,0,0,0,0,0,0,0,0,0
99,140,0.95,0.8,0,0,0,0,0,0,0,0,0,0,0
99,140,1.05,0.3,0,0,0,0,0,0,0,0,0,0,0
99,140,1.05,0.35,0,0,0,0,0,0,0,0,0,0,0
99,140,1.05,0.4,0,0,0,0,0,0,0,0,0,0,0
99,140,1.05,0.45,0,0,0,0,0,0,0,0,0,0,0
99,140,1.05,0.5,0,0,0,0,0,0,0,0,0,0,0
99,140,1.05,0.55,0,0,0,0,0,0,0,0,0,0,0
99,140,1.05,0.6,0,0,0,0,0,0,0,0,0,0,0
99,140,1.05,0.65,0,0,0,0,0,0,0,0,0,0,0
99,140,1.05,0.7,0,0,0,0,0,0,0,0,0,0,0
99,140,1.05,0.75,0,0,0,0,0,0,0,0,0,0,0
99,140,1.05,0.8,0,0,0,0,0,0,0,0,0,0,0
99,140,1.15,0.3,0,0,0,0,0,0,0,0,0,0,0
99,140,1.15,0.35,0,0,0,0,0,0,0,0,0,0,0
99,140,1.15,0.4,0,0,0,0,0,0,0,0,0,0,0
99,140,1.15,0.45,0,0,0,0,0,0,0,0,0,0,0
99,140,1.15,0.5,0,0,0,0,0,0,0,0,0,0,0
99,140,1.15,0.55,0,0,0,0,0,0,0,0,0,0,0
99,140,1.15,0.6,0,0,0,0,0,0,0,0,0,0,0
99,140,1.15,0.65,0,0,0,0,0,0,0,0,0,0,0
99,140,1.15,0.7,0,0,0,0,0,0,0,0,0,0,0
99,140,1.15,0.75,0,0,0,0,0,0,0,0,0,0,0
99,140,1.15,0.8,0,0,0,0,0,0,0,0,0,0,0
99,140,1.25,0.3,0,0,0,0,0,0,0,0,0,0,0
99,140,1.25,0.35,0,0,0,0,0,0,0,0,0,0,0
99,140,1.25,0.4,0,0,0,0,0,0,0,0,0,0,0
99,140,1.25,0.45,0,0,0,0,0,0,0,0,0,0,0
